year,Cambodia,China,India,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,United States,Vietnam
1990,1.26,2483.534,577.987,154.991,0.513,54.269,4.236,40.774,43.536,86.563,5131.761,21.299
1991,1.304,2619.143,615.388,174.754,0.546,65.785,4.137,42.874,44.235,95.045,5076.413,21.376
1992,1.348,2731.29,655.424,199.298,0.593,72.961,4.842,47.772,47.441,105.513,5178.77,21.466
1993,1.385,2914.284,677.262,214.963,0.607,86.612,5.303,48.342,49.662,121.855,5279.52,22.853
1994,1.425,3093.891,714.043,219.2,0.631,87.497,6.174,53.479,60.086,136.87,5361.863,27.362
1995,1.499,3351.197,760.48,222.225,0.671,109.595,6.893,59.22,40.546,153.65,5425.837,30.088
1996,1.517,3499.311,823.602,252.856,0.753,110.108,7.188,60.437,48.013,173.566,5601.094,35.482
1997,1.466,3512.35,857.976,279.696,0.792,118.471,7.42,69.147,56.737,181.203,5673.144,45.502
1998,1.876,3355.336,875.783,244.315,0.82,109.782,8.046,67.379,47.412,159.704,5736.36,47.866
1999,1.894,3549.949,961.194,291.771,0.846,103.987,8.934,67.295,49.2,167.235,5800.281,48.548
2000,1.997,3643.81,987.065,281.054,0.96,122.881,10.219,71.467,37.369,167.352,6023.158,53.935
2001,2.235,3724.114,1001.198,316.759,1.059,130.89,8.856,69.799,38.525,172.267,5903.562,60.983
2002,2.154,4098.181,1032.75,308.201,1.166,132.035,9.328,69.492,40.208,184.665,5947.819,69.531
2003,2.253,4835.251,1068.398,339.024,1.221,153.384,9.997,69.501,39.534,191.088,6006.44,77.261
2004,2.239,5210.961,1134.611,342.709,1.282,169.674,12.565,71.999,41.0,207.331,6111.545,88.939
2005,2.209,5881.991,1195.393,347.361,1.337,169.978,11.548,72.334,39.6,214.325,6126.903,95.842
2006,2.847,6486.185,1293.321,346.366,1.757,170.166,12.817,65.646,40.6,215.825,6045.326,99.656
2007,3.489,6974.663,1393.485,387.577,1.836,175.454,12.845,70.01,41.1,224.083,6121.542,101.433
2008,3.936,7492.404,1490.366,365.384,2.131,192.847,9.772,76.605,40.2,224.249,5919.221,114.3
2009,4.579,7881.491,1613.328,398.624,2.667,192.123,10.211,75.581,40.8,228.836,5486.104,124.493
2010,5.067,8610.048,1678.53,445.37,3.001,199.346,13.125,82.246,44.4,241.019,5669.25,139.564
2011,5.271,9520.153,1765.695,500.458,3.097,203.453,15.122,82.98,47.0,244.878,5538.973,152.564
2012,5.572,9767.311,1926.986,515.77,3.328,212.994,11.826,87.476,46.1,262.348,5331.467,144.288
2013,5.626,9942.371,1995.337,493.435,4.198,241.671,12.715,94.825,47.0,263.754,5473.436,151.459
2014,6.702,9976.027,2148.052,498.029,4.383,245.053,15.849,100.074,47.6,272.488,5531.385,180.048
2015,8.186,9858.04,2231.817,551.16,9.185,235.942,21.88,111.046,49.4,277.099,5368.497,213.391
2016,10.644,9748.175,2352.54,547.969,16.407,237.294,21.144,120.216,49.1,284.045,5245.362,221.027
2017,12.087,10000.014,2425.722,570.928,19.625,244.457,23.633,133.576,50.1,283.348,5195.417,227.694
2018,13.938,10346.79,2595.227,607.378,20.481,262.647,34.017,139.857,50.3,288.305,5361.236,255.468
2019,18.626,10713.515,2611.175,665.049,18.34,277.673,33.617,142.601,49.0,281.877,5235.912,339.312
2020,20.991,10896.521,2422.732,623.304,18.294,262.159,34.588,131.457,46.7,271.923,4689.954,362.599
2021,20.775,11284.401,2675.778,632.946,21.837,273.332,29.285,140.27,50.1,267.142,5020.111,314.197
2022,20.865,11711.808,2831.132,758.021,22.549,281.884,31.639,150.963,48.934,272.573,5055.403,322.653
